Tuoi Nghe_nghiep Thu_Nhap Nhom_no TT_HonNhan Co_Nha Co_xe Ket_Qua
<18 N1 0_10 0 0 1 0 No
<18 N1 0_10 0 0 1 1 No
<18 N2 10_16 0 0 1 1 No
<18 N2 10_16 0 0 1 1 No
18_35 N4 41_62 0 0 1 0 Yes
18_35 N4 41_62 1 1 1 1 Yes
18_35 N4 41_62 Tren_1 1 1 1 No
18_35 N4 Tren_62 0 0 1 1 Yes
18_35 N4 Tren_62 Tren_1 0 1 0 No
18_35 N3 16_27 0 1 1 0 Yes
18_35 N3 16_27 0 1 0 1 No
18_35 N3 16_27 1 1 1 1 Yes
18_35 N3 16_27 Tren_1 0 1 1 No
18_35 N3 27_41 0 1 0 1 Yes
18_35 N3 27_41 1 0 0 1 No
18_35 N3 27_41 0 1 1 1 Yes
18_35 N2 10_16 0 0 1 0 Yes
18_35 N2 10_16 0 1 0 1 No
18_35 N2 10_16 1 0 1 1 Yes
18_35 N2 10_16 Tren_1 0 1 0 No
18_35 N1 0_10 Tren_1 1 0 1 No
18_35 N1 0_10 1 0 1 0 Yes
35_50 N4 41_62 0 1 1 1 Yes
35_50 N4 41_62 Tren_1 0 1 1 No
35_50 N4 Tren_62 0 0 1 1 Yes
35_50 N4 Tren_62 1 0 1 1 Yes
35_50 N4 Tren_62 0 0 1 1 Yes
35_50 N3 16_27 0 0 1 1 Yes
35_50 N3 16_27 Tren_1 0 1 1 No
35_50 N3 16_27 0 1 1 1 Yes
35_50 N3 27_41 1 1 0 1 No
35_50 N3 27_41 0 0 1 1 Yes
35_50 N3 27_41 1 0 1 1 Yes
35_50 N2 10_16 1 1 0 0 No
35_50 N2 10_16 0 1 1 1 Yes
35_50 N2 10_16 0 1 0 0 No
35_50 N2 10_16 Tren_1 1 1 1 No
35_50 N1 0_10 1 0 1 0 Yes
35_50 N1 0_10 0 1 0 0 No
35_50 N1 0_10 Tren_1 0 1 0 No
Tren_50 N3 16_27 0 0 0 1 No
Tren_50 N3 16_27 0 0 1 0 Yes
Tren_50 N3 16_27 1 1 1 0 Yes
Tren_50 N3 27_41 0 1 0 1 Yes
Tren_50 N3 27_41 1 0 1 0 Yes
Tren_50 N3 27_41 Tren_1 0 1 1 No
Tren_50 N2 10_16 0 1 1 1 Yes
Tren_50 N2 10_16 1 1 1 0 Yes
Tren_50 N2 10_16 0 0 1 0 Yes
Tren_50 N2 10_16 0 1 1 0 Yes
Tren_50 N2 10_16 Tren_1 1 1 0 No
Tren_50 N1 0_10 0 0 1 0 Yes
Tren_50 N1 0_10 Tren_1 0 1 1 No
Tren_50 N1 0_10 0 1 1 0 Yes
