Thu_Nhap TTHonNhan No_Xau Co_Nha Co_Xe Ket_Qua
10_15 0 0 0 1 1
0_10 1 0 0 0 0
0_10 0 1 0 1 0
0_10 0 1 0 0 0
10_15 1 0 1 1 1
10_15 1 0 0 1 1
10_15 0 0 1 1 1
10_15 1 1 0 1 0
0_10 0 1 0 0 0
0_10 0 1 1 0 0
20_40 1 0 1 1 1
20_40 1 1 1 1 0
10_15 1 0 1 1 1
10_15 0 0 1 1 1
0_10 1 1 0 0 0
10_15 1 1 1 0 0
0_10 1 0 1 1 1
20_40 0 1 1 1 0
Trên_40 0 0 1 1 1
0_10 0 1 0 1 0
20_40 1 0 1 1 1
10_15 0 1 1 1 0
0_10 1 1 0 1 0
0_10 1 0 1 1 1
10_15 0 0 1 1 1
10_15 0 0 0 1 1
0_10 1 0 0 1 0
20_40 0 0 1 1 1
20_40 1 0 1 1 1
20_40 0 0 1 1 1
10_15 1 0 0 1 1
